D_max_km,metodo,estado_solver,coste_total,num_estaciones,cobertura_ok,max_hueco_km,tiempo_segundos,gap_vs_ilp_pct,estaciones_sin_potencia_minima,pares_menores_separacion_minima
90.0,heuristica_voraz,Heuristica,4862.037518766961,10,True,89.60000000000002,0.07624169999326114,3.359219269855636,7,0
90.0,ilp_pulp,Optimal,4704.019199364209,10,True,84.00999999999999,27.751795000003767,0.0,7,0
120.0,heuristica_voraz,Heuristica,4127.988443976517,8,True,112.94,0.06729980000818614,4.842718961403418,5,0
120.0,ilp_pulp,Optimal,3937.315328016423,8,True,112.69999999999993,25.058842600003118,0.0,5,0
150.0,heuristica_voraz,Heuristica,3613.655195522637,7,True,149.82999999999998,0.06306290000793524,0.27480016800543294,4,0
150.0,ilp_pulp,Optimal,3603.752078755717,7,True,147.39999999999998,25.21793759999855,0.0,4,0
180.0,heuristica_voraz,Heuristica,3691.7797807820025,7,True,177.98000000000002,0.06720730000233743,6.502237117063715,4,0
180.0,ilp_pulp,Optimal,3466.3870738453325,7,True,172.39999999999998,31.88809389999369,0.0,4,0
210.0,heuristica_voraz,Heuristica,3721.6340078118,7,True,205.93,0.06292929999472108,7.371683999815862,4,0
210.0,ilp_pulp,Optimal,3466.1224162398184,7,True,176.89999999999998,28.479067599997506,0.0,4,0
245.0,heuristica_voraz,Heuristica,3331.2534434320305,6,True,241.57999999999998,0.06539889999839943,4.406474371357044,3,0
245.0,ilp_pulp,Optimal,3190.657919913374,6,True,218.67,29.027398299993365,0.0,3,0
