metodo,estado,tiempo_s,objetivo,estaciones_abiertas,puntos_totales,potencia_total_mw,refuerzo_total_mw,cobertura_demanda_pct,distancia_max_asignacion_km,distancia_inicio_a_primera_max_km,distancia_ultima_a_fin_max_km,hueco_maximo_entre_electrolineras_consecutivas_km,distancia_maxima_control_km,distancia_maxima_permitida_km,cobertura_solo_tramos_reales,estaciones_sin_potencia_minima,pares_menores_separacion_minima
exacto_pulp,Optimal,177.46981409999717,3190.657919913374,6,28,2.5999999999999996,1.5,100.0,120.64999999999998,43.09000000000003,103.9,218.67,218.67,245.0,True,3,0
heuristica_voraz,Heuristica,0.08825260000594426,3331.2534434320305,6,27,2.95,1.5,100.0,120.07999999999997,43.09000000000003,75.35000000000002,241.57999999999998,241.57999999999998,245.0,True,3,0
