pk_round,pk,utm_x,utm_y,tipo_candidato,es_estacion_aforo,candidate_id,dist_subestacion_km,nudos_demanda_15km,capacidad_entorno_mw,subestacion_cercana,municipio_subestacion,provincia_subestacion,gestor_subestacion,demanda_potencial_dia,cumple_500_kva,candidato_elegible_potencia,coste_fijo,es_auxiliar,abierta,p50,p150,p350,puntos_total,potencia_total_mw,refuerzo_mw,metodo
17.43,17.43,456340.8878340526,4478036.823803401,estacion_aforo,1,C009,0.25653372240589467,55,29.43,ST LA ESTRELLA PM,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",148.30437324796253,True,True,75.36656566469367,0,1,0,4,2,6,1.2999999999999998,0.0,exacto_pulp
236.1,236.1,615358.6554182173,4578521.618666462,estacion_aforo,1,C080,0.6527068322987992,6,0.0,CALATAYUD,Calatayud,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,65.93618552706631,False,True,224.56846529900295,0,1,4,2,0,6,0.5,0.5,exacto_pulp
474.1,474.1,813151.3855887543,4615963.994169674,estacion_aforo,1,C145,1.907750999653861,9,73.7,LLEIDA EST,Lleida,Lleida,ELECTRA REDENERGIA SL,68.83026446134963,True,True,96.43171773503978,0,1,6,0,0,6,0.30000000000000004,0.0,exacto_pulp
586.8,586.8,910795.3622412304,4605511.138374439,estacion_aforo,1,C191,0.6690119697342153,18,10.26,CASTELLBIS,Castellbisbal,Barcelona,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,117.11673199140668,True,True,83.1620597354721,0,1,6,0,0,6,0.30000000000000004,0.0,exacto_pulp
693.75,693.75,978626.8941400028,4643249.086142166,estacion_aforo,1,C204,1.182474447461938,4,0.0,SILS,Sils,Girona,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,31.55566832078764,False,True,233.31215609279272,0,1,2,0,0,2,0.1,0.5,exacto_pulp
733.375,733.375,987591.9993735624,4678214.72229051,estacion_aforo,1,C218,6.256802366127175,15,0.0,CM. EDAR,Celrà,Girona,"ELECTRICITAT LA AURORA, SLU",12.065372501851785,False,True,247.8169553863733,0,1,2,0,0,2,0.1,0.5,exacto_pulp
