pk_round,pk,utm_x,utm_y,tipo_candidato,es_estacion_aforo,candidate_id,dist_subestacion_km,nudos_demanda_15km,capacidad_entorno_mw,subestacion_cercana,municipio_subestacion,provincia_subestacion,gestor_subestacion,demanda_potencial_dia,cumple_500_kva,candidato_elegible_potencia,coste_fijo,es_auxiliar,demanda_asignada_dia,p50,p150,p350,potencia_total_mw,refuerzo_mw,capacidad_servicio_dia,puntos_total,metodo
23.07,23.070000000000004,462168.4586284628,4479696.917073364,estacion_aforo,1,C014,1.9496164028165481,29,4.39,ST ARROYO DE LA VEGA,Alcobendas,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",152.80907236399509,True,True,77.74591636456888,0,197.932665048,0,3,3,1.4999999999999998,0.0,207.35999999999996,6,heuristica_voraz
264.65,264.65,629600.7480298319,4592913.579295525,estacion_aforo,1,C089,3.323850436981182,4,0.0,LA_ALMUNIA,"Almunia de Doña Godina, La",Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,73.02059695703294,False,True,228.32736389391428,0,120.908913888,4,2,0,0.5,0.5,124.79999999999998,6,heuristica_voraz
474.1,474.1,813151.3855887543,4615963.994169674,estacion_aforo,1,C145,1.907750999653861,9,73.7,LLEIDA EST,Lleida,Lleida,ELECTRA REDENERGIA SL,68.83026446134963,True,True,96.43171773503978,0,69.66274752,5,0,0,0.25,0.0,83.99999999999999,5,heuristica_voraz
608.3,608.3,923651.3785032912,4589865.512950989,estacion_aforo,1,C201,1.6844652319600348,33,55.96,VILANOVA,Barcelona,Barcelona,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,104.59103258810879,True,True,87.99250014065737,0,115.198225032,4,2,0,0.5,0.0,124.79999999999998,6,heuristica_voraz
708.33,708.33,980404.487125367,4657039.827945186,estacion_aforo,1,C215,2.4765390802145486,19,0.0,SILS,Sils,Girona,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,22.434078265747278,False,True,237.93898991147643,0,15.524106144000001,2,0,0,0.1,0.5,33.599999999999994,2,heuristica_voraz
733.375,733.375,987591.9993735624,4678214.72229051,estacion_aforo,1,C218,6.256802366127175,15,0.0,CM. EDAR,Celrà,Girona,"ELECTRICITAT LA AURORA, SLU",12.065372501851785,False,True,247.8169553863733,0,0.59767704,2,0,0,0.1,0.5,33.599999999999994,2,heuristica_voraz
