subestacion,provincia,municipio,nombre_del_gestor,utm_x,utm_y,distancia_a2_km,pk_centro_tramo_a2,capacidad_disponible_mw,nivel_de_tension_kv
STR FONTANAR,Guadalajara,Fontanar,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",484383.62,4510039.51,9.800642196927727,66.75,0.0,66
SAN_BRUNO,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,680609.63,4604705.35,9.856729280628972,334.85,0.0,45
CASSA,Girona,Cassà de la Selva,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,989598.68,4651350.48,9.957185571877684,703.5,0.0,110
CODONYERS,Barcelona,Cerdanyola del Vallès,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,925794.88,4604394.12,10.04058767520647,597.2,0.0,25
VILLAVERDE,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",441413.11,4468361.15,10.287123929361272,8.0,0.0,45
STR JADRAQUE,Guadalajara,Jadraque,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",506447.28,4531254.71,10.4801166000855,88.55000000000001,0.0,66
BEGUES,Barcelona,Vallirana,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,910133.4,4589846.99,10.490565070935931,602.9,0.0,25
BRIHUEGA,Guadalajara,Brihuega,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",510428.36,4508268.3,10.638886939845413,77.95,0.0,45
VACIAMADRID,Madrid,Rivas-Vaciamadrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",455330.11,4466793.77,10.669234129381575,15.8,0.0,45
TANGER,Barcelona,Barcelona,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,934118.48,4596563.01,10.716758853258154,609.895,0.0,25
MARAGALL,Barcelona,Barcelona,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,932957.35,4598001.57,10.95686746354383,609.895,38.94,25
SUBIRATS,Barcelona,Subirats,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,902910.89,4597407.52,11.028057017628596,585.7,0.0,25
ST ALCOBENDAS PM,Madrid,Alcobendas,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",444879.56,4488883.72,11.047530580994918,8.0,9.11,20
VILLANUE_O,Zaragoza,Villanueva de Gállego,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,680206.54,4627325.91,11.092983512197993,323.75,0.0,132
STR OLVIDO,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",440595.47,4467827.82,11.10865442426172,8.0,0.0,45
LLORET,Girona,Lloret de Mar,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,987782.88,4635503.24,11.116559433989734,693.304,0.0,110
ST VENTAS BATAN,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",435424.98,4472523.61,11.299195955128937,8.0,20.55,20
STR BUENOS AIR PM,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",436639.49,4470529.62,11.40827810618839,8.0,0.0,45
