subestacion,provincia,municipio,nombre_del_gestor,utm_x,utm_y,distancia_a2_km,pk_centro_tramo_a2,capacidad_disponible_mw,nivel_de_tension_kv
JUSLIBOL,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,675266.43,4617981.33,1.6057730447751402,319.8,0.0,45
CERVELLO,Barcelona,Cervelló,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,917090.43,4595931.51,1.611255297085649,600.25,0.0,25
CAMPO NACIONES NUEVO,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",447324.68,4479500.5,1.6532456294606817,8.0,0.0,45
MALLORCA,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,678623.07,4614646.04,1.6582456021132264,323.75,0.0,45
CANILLEJAS,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",447895.02,4476186.24,1.6584397072000225,8.0,0.0,45
FORNELLS,Girona,Fornells de la Selva,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,980429.57,4659516.24,1.6981527247738801,708.2495,0.0,132
SIMANCAS,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",446516.28,4475957.93,1.8338504217188891,8.0,0.0,15
MORATA,Zaragoza,Morata de Jalón,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,626332.93,4592305.84,1.87242559772877,264.9,0.0,45
AUGUSTA,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,673503.41,4613993.41,1.9027777337211298,317.2375,0.0,45
PROSPERIDAD,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",443470.94,4477110.02,2.0570476205892447,8.0,0.0,15
VALENZUELA,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,665977.75,4612343.39,2.0863741427009352,309.13250000000005,0.0,45
ST MECO,Madrid,Meco,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",473418.12,4487818.09,2.1390668087986855,34.7,0.0,132
CAMPILLO,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,669480.19,4609076.5,2.1940330282824356,313.45,0.0,132
CONCEPCION,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",444132.81,4476048.73,2.1955956701433563,8.0,0.0,45
MANUEL BECERRA,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",443955.15,4476165.42,2.2120062423820404,8.0,0.61,15
CR BEETHOVEN 8,Zaragoza,Zaragoza,HIDROCANTÁBRICO DISTRIBUCIÓN ELÉCTRICA S.A.U,671141.3,4611146.2,2.230182895776423,313.45,0.0,15
ELEV_AGUAS,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,675556.96,4614142.91,2.2354665692947204,319.8,0.0,45
S.BOI,Barcelona,Sant Boi de Llobregat,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,921844.47,4588326.94,2.2790658269771362,608.1500000000001,0.0,110
ST ARDOZ NUEVA,Madrid,Torrejón de Ardoz,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",459066.61,4477002.72,2.3280830663094063,18.916,0.0,132
PARACUEL,Zaragoza,Paracuellos de Jiloca,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,615367.9,4574944.45,2.3334104247730996,234.6,0.0,132
BARRIO DE BILBAO,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",445115.63,4475489.1,2.362751196648958,8.0,0.0,45
ALHAMA,Zaragoza,Alhama de Aragón,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,592203.81,4571605.05,2.3739780483149184,207.25,0.0,45
MARTORELL,Barcelona,Martorell,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,909781.95,4603234.99,2.3806168300684276,589.6,0.0,110
ST CHAMARTIN,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",443330.0,4479135.6,2.4301645703394734,8.0,0.0,132
ST C-CAMPO-AIR LIQUI,Guadalajara,Cabanillas del Campo,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",479341.26,4495711.59,2.56295066082064,48.9,0.0,132
ST FTE ALCARRIA ID,Guadalajara,Brihuega,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",501471.31,4510825.9,2.7087444410522807,77.95,0.0,132
NUEZ,Zaragoza,Alfajarín,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,694048.98,4607332.13,2.801318781852218,339.65,0.0,45
CHILOECHES,Guadalajara,Chiloeches,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",483060.5,4491516.7,2.8407204551892695,45.65,0.0,132
BARAJAS,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",450333.14,4480697.33,2.8417799676030286,12.45,0.0,45
ST VILLANUEVA DE LA TORRE,Guadalajara,Villanueva de la Torre,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",476199.48,4491949.84,2.849049588226174,42.8,0.0,132
PORTILLO,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,675217.38,4613478.33,2.897084237967977,319.8,0.0,132
ST HENARES,Madrid,San Fernando de Henares,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",457710.82,4475462.73,2.904830561862512,17.266,0.0,132
PIEROLA,Barcelona,"Hostalets de Pierola, Els",EDISTRIBUCIÓN REDES DIGITALES S.L.U.,903011.54,4608106.52,2.949053590825685,577.95,0.0,110
COSLADA,Madrid,Coslada,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",451236.93,4474811.89,3.020472843677137,12.45,0.0,45
I.N.T.A.,Madrid,Ajalvir,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",460391.56,4482723.05,3.026185514846153,22.35,0.0,45
LLEIDA EST,Lleida,Lleida,ELECTRA REDENERGIA SL,805615.25,4613257.61,3.027650925116392,469.05,73.7,132
MAGRANERS,Lleida,Lleida,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,805636.23,4613191.38,3.0814974419987475,469.05,0.0,132
HORTALEZA,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",443698.25,4480440.46,3.0961580113831535,8.0,9.35,45
UNIVERSITA,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,673879.42,4612490.0,3.1235183326226874,315.7875,0.0,132
MOTORS,Barcelona,Barcelona,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,929279.11,4589813.23,3.2071211286482897,609.895,0.0,25
ST CABANILLAS CAMPO,Guadalajara,Cabanillas del Campo,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",478751.6,4496171.87,3.3079982390422464,48.9,0.0,132
RUBI,Barcelona,Rubí,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,918379.31,4603442.73,3.3559250642879994,593.0,0.0,66
AEROPORT,Barcelona,"Prat de Llobregat, El",EDISTRIBUCIÓN REDES DIGITALES S.L.U.,927240.9,4586287.23,3.3773999567464297,609.895,0.0,25
ST GUADALAJARA,Guadalajara,Guadalajara,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",484750.88,4500889.59,3.449318181777626,52.6025,0.0,132
SEGRIA,Lleida,Benavent de Segrià,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,800832.82,4622239.14,3.4801346543190546,462.5,0.0,110
HUERVA,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,677161.11,4612903.45,3.4994897971042223,323.75,0.0,45
IBERCAJA,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,676186.53,4612774.65,3.612781787233126,322.15,0.0,45
PARAISO,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,676027.3,4612750.28,3.6350128867970373,319.8,0.0,45
CM. EDAR,Girona,Celrà,"ELECTRICITAT LA AURORA, SLU",986085.38,4670844.11,3.6469229074487437,730.55,0.0,25
ARAGONIA,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,674138.69,4611924.98,3.696065543795581,315.7875,0.0,45
PINAR,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",444384.88,4481437.57,3.7278826394147924,8.0,0.0,45
BARRIO DEL JARAMA,Madrid,Coslada,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",454106.91,4473753.87,3.7419348824228575,15.8,0.0,45
SANTS,Barcelona,"Hospitalet de Llobregat, L'",EDISTRIBUCIÓN REDES DIGITALES S.L.U.,928505.75,4592343.8,3.758943376091536,609.895,0.0,110
COLLBLANC,Barcelona,"Hospitalet de Llobregat, L'",EDISTRIBUCIÓN REDES DIGITALES S.L.U.,927025.21,4593130.55,3.762425470684206,609.895,0.0,110
SAN BLAS,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",447324.74,4474068.57,3.7728175059980447,8.0,0.0,45
COR_INGLES,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,676180.24,4612543.43,3.843758147473143,322.15,0.0,45
CERDA,Barcelona,Barcelona,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,929957.91,4589598.99,3.869124741224485,609.895,0.0,25
VILADECANS,Barcelona,Viladecans,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,920868.0,4587071.06,3.869861519145169,608.1500000000001,12.98,66
S.JUST,Barcelona,Sant Just Desvern,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,924720.61,4594763.4,3.878901814567187,605.6,0.0,66
EMBID,Zaragoza,Calatayud,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,616185.98,4584217.57,3.878999303989698,242.98899999999998,0.0,45
MIRAFLORES,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,676744.55,4612472.33,3.9250848600745543,323.75,0.0,132
PORTILLADA,Zaragoza,"Muela, La",EDISTRIBUCIÓN REDES DIGITALES S.L.U.,653561.8,4606115.96,3.9370161307561884,292.5555,0.0,132
MONZALBARB,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,668802.96,4617560.66,3.997023885554817,317.2375,0.0,45
ST LA ESTRELLA PM,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",443518.13,4474301.1,4.011052251007492,8.0,29.43,132
ECOCIUDAD,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,672400.64,4609339.78,4.053077240564365,313.45,0.0,132
S.MARGARID,Barcelona,Santa Margarida de Montbui,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,883470.8,4610560.3,4.061831012890342,551.6,0.0,110
PRAT,Barcelona,"Prat de Llobregat, El",EDISTRIBUCIÓN REDES DIGITALES S.L.U.,929244.37,4586898.98,4.064034235043074,609.895,0.0,110
XIRGU,Girona,Girona,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,980991.38,4661868.34,4.080833492912101,708.2495,0.0,110
ROMAREDA,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,674324.04,4611546.93,4.095237066910577,315.7875,0.0,45
VALDEBEBAS,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",448824.59,4481976.44,4.095299108297966,8.0,0.0,45
OLIVERA,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,678541.43,4612106.42,4.167431237141399,326.0,0.0,45
NUEVOS MINISTERIOS,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",441230.62,4477429.66,4.181401507901847,8.0,0.0,45
SALAMANCA,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",442230.25,4475099.18,4.188889065380441,8.0,0.0,45
POLIGONO 38,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",444370.65,4473745.41,4.2276154137238,8.0,4.4,45
S.C.OLORDE,Barcelona,Barcelona,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,922924.76,4597364.04,4.2315096644829975,600.25,0.0,25
AZCA,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",441127.68,4478241.02,4.281432016862546,8.0,0.0,15
ALCOHETE,Guadalajara,Yebes,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",489592.09,4493337.12,4.428748841219458,56.4025,0.0,45
CANJARDI,Barcelona,Rubí,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,919488.18,4603650.68,4.440973541745156,593.0,0.0,110
ST AYALA,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",441622.33,4475418.55,4.483922842903766,8.0,0.0,132
ST SAN FELIPE,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",441026.55,4479149.59,4.554426492129143,8.0,0.0,132
H_M_SERVET,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,674969.71,4611528.7,4.57703365613146,315.7875,0.0,45
SERRANO,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",441637.19,4475107.99,4.647497037420151,8.0,0.0,45
CRM. PIRINEUS,Girona,Celrà,"ELECTRICITAT LA AURORA, SLU",986284.37,4669772.03,4.651152518507031,730.55,0.0,25
CMC PIRINEUS,Girona,Celrà,"ELECTRICITAT LA AURORA, SLU",986281.08,4669771.76,4.6519706413422535,730.55,0.0,25
CR. ORRIOLS,Girona,Celrà,"ELECTRICITAT LA AURORA, SLU",986495.54,4669711.17,4.6808947203913664,730.55,0.0,25
ZAL,Barcelona,"Prat de Llobregat, El","UFD DISTRIBUCIÓN ELECTRICIDAD, SA",929574.31,4586213.19,4.763707755813772,609.895,0.0,25
ST SANCHINARRO,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",444018.3,4482416.94,4.7706702187792605,8.0,20.71,20
CHAMARTIN,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",440660.35,4478491.11,4.7741968576286595,8.0,0.0,45
PASEO DE RECOLETOS,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",441410.66,4475145.1,4.8113692424545995,8.0,1.26,45
CASABLANCA,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,673921.32,4610305.95,4.8116663346484385,315.7875,0.0,132
SALT,Girona,Salt,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,980762.78,4662689.15,4.87804267008623,708.2495,0.0,132
FACULTATS,Barcelona,Barcelona,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,928120.97,4594022.41,4.988059438049508,609.895,0.0,25
CUARTE,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,671811.52,4607198.02,5.026943370743648,313.45,0.0,45
ST DEPORTIVA,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",441579.16,4481187.43,5.067737991092935,8.0,9.14,20
NORTE,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",440677.14,4475747.32,5.160798816773116,8.0,7.75,45
MORATALAZ,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",445549.07,4472591.63,5.161547502251325,8.0,0.0,45
ST PALAFOX,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",440568.2,4475813.6,5.234376623156212,8.0,21.0,15
TORRENTE,Huesca,Torrente de Cinca,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,778629.4,4595431.3,5.24917033676298,434.45,0.0,110
ST CIUDAD DEL TRANSP,Guadalajara,Marchamalo,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",484252.34,4503014.81,5.339638429839256,59.2,0.0,132
CM. EL CASTELL,Girona,Sant Julià de Ramis,"ELECTRICITAT LA AURORA, SLU",984009.17,4669949.84,5.362294320069547,730.55,0.0,25
JUIA,Girona,Juià,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,988598.19,4669150.98,5.428136049086298,730.55,0.0,132
SE LOS VIENTOS,Zaragoza,Muel,HIDROCANTÁBRICO DISTRIBUCIÓN ELÉCTRICA S.A.U,655291.2,4595312.0,5.461213684496786,292.5555,0.0,132
EL VANDEL,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",446751.73,4472320.18,5.464179470396976,8.0,0.0,45
ST OLITE,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",439924.77,4478089.98,5.471620018237905,8.0,0.0,132
LS_VIENTOS,Zaragoza,Muel,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,655361.16,4595299.31,5.483450057390529,292.5555,0.0,132
ST EL PILAR PM,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",440609.51,4480596.52,5.515176965651867,8.0,23.54,132
SUBESTACIO SORDS,Girona,Cornellà del Terri,"ELECTRA AVELLANA, SL",981647.31,4676263.25,5.517026304074861,730.55,0.0,10
SAGUNTO,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,676678.38,4610868.02,5.528261226206096,322.15,0.0,45
D_CARTUJA,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,682374.11,4608685.24,5.7099373310671275,334.85,0.0,45
HOSTAFRANC,Barcelona,Barcelona,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,930657.74,4592938.73,5.738882673291556,609.895,0.0,110
ZARAGOZANA,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,679538.74,4609932.82,5.802237526198127,328.7,0.0,45
VICALVARO,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",448808.09,4471991.95,5.850936671197861,8.0,0.0,45
MEDIODIA,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",441358.15,4473479.04,5.945781155838194,8.0,0.0,15
EL_BURGO,Zaragoza,"Burgo de Ebro, El",EDISTRIBUCIÓN REDES DIGITALES S.L.U.,689260.79,4603759.74,5.9995923933732875,339.65,0.0,45
P.ESTANY,Girona,Palol de Revardit,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,981921.34,4671153.51,6.058334346141699,730.55,0.0,110
LESCORTS,Barcelona,Barcelona,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,929638.19,4594516.39,6.174050784984477,609.895,0.0,110
CRISTO DE RIVAS,Madrid,Rivas-Vaciamadrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",454691.0,4471086.0,6.360770539022472,15.8,0.0,132
PRYDES,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,683904.66,4606568.61,6.469320288505664,334.85,0.0,45
CERRO DE LA PLATA NUEVA,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",442577.7,4472012.28,6.478496736319971,8.0,7.3,45
PI_EPILA,Zaragoza,Épila,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,644197.56,4606031.55,6.525207030951499,282.1,0.0,45
AENA,Madrid,Alcobendas,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",449349.66,4484488.69,6.601923205089245,8.0,0.0,45
ST ARGUELLES,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",439177.48,4475606.12,6.605641036947705,8.0,0.0,132
MONISTROL,Barcelona,Monistrol de Montserrat,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,904180.01,4618850.15,6.6089513861647315,573.45,0.0,110
LOS HUEROS,Madrid,Villalbilla,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",469848.25,4475735.64,6.653701203298853,25.6,0.0,45
ALTO PALOMERAS,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",445375.51,4471073.47,6.68838607968041,8.0,0.0,45
ST PLAZA ESPANA,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",439268.17,4475105.28,6.709115149243443,8.0,0.0,132
URGELL,Barcelona,Barcelona,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,930378.41,4594641.21,6.722729771695533,609.895,0.0,11
VALLECAS 2,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",447379.81,4471104.07,6.7378261282807355,8.0,6.34,45
CAPELLADES,Barcelona,"Torre de Claramunt, La",EDISTRIBUCIÓN REDES DIGITALES S.L.U.,890435.65,4607736.06,6.796546414652563,560.2,0.0,110
VALDECON,Zaragoza,Cuarte de Huerva,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,673697.48,4606473.84,6.831953104441413,313.45,0.0,132
ALUMALSA,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,680351.06,4608489.81,6.850739705717433,328.7,0.0,45
ROSALES,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",438989.7,4475018.72,6.998725628594062,8.0,0.0,45
VILLANUEVA,Zaragoza,Villanueva de Gállego,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,679024.35,4623385.92,7.027288649375687,323.75,0.0,132
STR EMBAJADORES,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",440367.43,4472786.28,7.131480457004631,8.0,0.0,45
TUDOR,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,682357.59,4606725.39,7.188136496633649,334.85,0.0,45
BASE_AEREA,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,661418.22,4616408.1,7.22180639842149,303.7395,0.0,45
ST CIUDAD UNIVERSITA,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",438169.99,4478887.64,7.295499608211225,8.0,0.0,132
SAN DIEGO,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",444196.02,4470608.37,7.327808350917694,8.0,0.0,45
LA_PAZ,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,675539.73,4608176.21,7.374819905069832,313.45,0.0,132
PITARCO,Zaragoza,Muel,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,658180.44,4594126.68,7.479094328402538,292.5555,0.0,132
MATA,Barcelona,Barcelona,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,932587.08,4593208.32,7.498319432125339,609.895,0.0,110
LAS PEÑUELAS,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",440028.33,4472537.14,7.5474668563812894,8.0,0.0,45
MEJORADA,Madrid,Mejorada del Campo,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",459626.44,4471215.81,7.563674091521501,17.266,0.0,45
ALBATARREC,Lleida,Albatàrrec,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,801992.85,4609196.57,7.570332806783583,454.79999999999995,0.0,25
MAZARREDO,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",438990.63,4473794.88,7.575836539187556,8.0,0.0,15
PLACETA,Girona,Sarrià de Ter,"CENTRAL ELECTRICA MITJANS,SL",982404.12,4668300.86,7.641290335362852,730.55,0.0,25
ESPARTAL,Zaragoza,"Burgo de Ebro, El",EDISTRIBUCIÓN REDES DIGITALES S.L.U.,693600.8,4601646.68,7.683675591572976,339.65,0.0,45
