provincia,municipio,utm_x,utm_y,subestacion,nivel_tension_kv,capacidad_disponible_mw,denominacion_punto,identificador_punto
Madrid,Parla,435198.6335686,4453914.10751895,4925,15,"1,01",FELIPE2 T1  ,0528141676
Madrid,Parla,435198.6335686,4453914.10751895,4925,45,0,FELIPE2 T2  ,0528066769
Madrid,Parla,435198.6335686,4453914.10751895,4925,15,0,FELIPE2 T2  ,0528141650
Madrid,Getafe,439355.85109724,4462689.98003732,4913,45,0,JUCIERVA T1 ,0528066790
Madrid,Getafe,439355.85109724,4462689.98003732,4913,15,0,JUCIERVA T1 ,0528141681
Madrid,Getafe,439355.85109724,4462689.98003732,4913,45,0,JUCIERVA T2 ,0528066791
Madrid,Getafe,439355.85109724,4462689.98003732,4913,15,0,JUCIERVA T2 ,0528141680
Madrid,Getafe,439355.85109724,4462689.98003732,4913,15,0,JUCIERVA T3 ,0528141682
Madrid,Móstoles,424676.344941987,4462561.68948561,4903,45,"12,51",ANTUSANA T1 ,0528065002
Madrid,Móstoles,424676.344941987,4462561.68948561,4903,15,"8,38",ANTUSANA T1 ,0528065003
Madrid,Móstoles,424676.344941987,4462561.68948561,4903,45,"7,17",ANTUSANA T2 ,0528065004
Madrid,Móstoles,424676.344941987,4462561.68948561,4903,15,0,ANTUSANA T2 ,0528065005
Madrid,Alcorcón,428638.41862111,4467273.30593151,5114,45,"20,34",PERATA T1   ,0528066839
Madrid,Alcorcón,428638.41862111,4467273.30593151,5114,15,"13,84",PERATA T1   ,0528066840
Madrid,Alcorcón,428638.41862111,4467273.30593151,5114,45,"14,52",PERATA T2   ,0528066841
Madrid,Alcorcón,428638.41862111,4467273.30593151,5114,15,"10,96",PERATA T2   ,0528066842
Madrid,Alcorcón,428638.41862111,4467273.30593151,5114,20,"2,72",PERATA T3   ,0528066844
Madrid,Móstoles,428007.387698357,4463629.5149384,4907,15,"6,98",REGUERA T1  ,0528066886
Madrid,Móstoles,428007.387698357,4463629.5149384,4907,45,"16,68",REGUERA T1  ,0528215633
Madrid,Móstoles,428007.387698357,4463629.5149384,4907,15,0,REGUERA T2  ,0528066888
Madrid,Móstoles,428007.387698357,4463629.5149384,4907,45,0,REGUERA T2  ,0528215632
Madrid,Fuenlabrada,432035.719047539,4461129.21063428,4899,45,"23,1",SERNA T1    ,0528066901
Madrid,Fuenlabrada,432035.719047539,4461129.21063428,4899,15,7,SERNA T1    ,0528066902
Madrid,Fuenlabrada,432035.719047539,4461129.21063428,4899,45,"19,91",SERNA T2    ,0528066903
Madrid,Fuenlabrada,432035.719047539,4461129.21063428,4899,15,"3,81",SERNA T2    ,0528066904
Madrid,Alcorcón,430001.177175882,4467252.39587446,4936,45,"20,49",LISBOA T1   ,0528066801
Madrid,Alcorcón,430001.177175882,4467252.39587446,4936,15,"6,99",LISBOA T1   ,0528066802
Madrid,Alcorcón,430001.177175882,4467252.39587446,4936,45,"14,52",LISBOA T2   ,0528066803
Madrid,Alcorcón,430001.177175882,4467252.39587446,4936,15,"6,94",LISBOA T2   ,0528066804
Madrid,Alcorcón,430645.237184316,4464906.82775728,4934,45,"28,14",ESCOLARE T1 ,0528066760
Madrid,Alcorcón,430645.237184316,4464906.82775728,4934,15,7,ESCOLARE T1 ,0528066761
Madrid,Alcorcón,430645.237184316,4464906.82775728,4934,45,"18,99",ESCOLARE T2 ,0528066762
Madrid,Alcorcón,430645.237184316,4464906.82775728,4934,15,0,ESCOLARE T2 ,0528066763
Madrid,Móstoles,426389.898028506,4463462.39347227,4906,45,"14,29",MOSTOLES T1 ,0528066822
Madrid,Móstoles,426389.898028506,4463462.39347227,4906,15,"14,29",MOSTOLES T1 ,0528146087
Madrid,Móstoles,426389.898028506,4463462.39347227,4906,45,"14,52",MOSTOLES T2 ,0528066823
Madrid,Móstoles,426389.898028506,4463462.39347227,4906,15,7,MOSTOLES T2 ,0528066824
Madrid,Madrid,440595.467292494,4467827.82248794,4228,15,"17,5",OLVIDO T1   ,0528151916
Madrid,Madrid,440595.467292494,4467827.82248794,4228,45,"38,97",OLVIDO T1   ,0528151934
Madrid,Alcorcón,431814.277176895,4465807.79547899,4885,45,"23,65",PIALCOR1 T1 ,0528066847
Madrid,Alcorcón,431814.277176895,4465807.79547899,4885,15,"8,1",PIALCOR1 T1 ,0528066848
Madrid,Alcorcón,431814.277176895,4465807.79547899,4885,45,"18,99",PIALCOR1 T2 ,0528066849
Madrid,Alcorcón,431814.277176895,4465807.79547899,4885,15,"6,85",PIALCOR1 T2 ,0528066850
Madrid,Leganés,435677.501145201,4463977.19369517,4881,45,"25,37",PILEGANE T1 ,0528066859
Madrid,Leganés,435677.501145201,4463977.19369517,4881,15,"6,02",PILEGANE T1 ,0528066860
Madrid,Leganés,435677.501145201,4463977.19369517,4881,45,"28,01",PILEGANE T2 ,0528066861
Madrid,Leganés,435677.501145201,4463977.19369517,4881,15,"17,41",PILEGANE T2 ,0528066862
Madrid,Pinto,439680.065314724,4456079.84152024,4924,45,0,PIPINTO T1  ,0528066867
Madrid,Pinto,439680.065314724,4456079.84152024,4924,15,0,PIPINTO T1  ,0528066868
Madrid,Pinto,439680.065314724,4456079.84152024,4924,45,0,PIPINTO T2  ,0528066869
Madrid,Pinto,439680.065314724,4456079.84152024,4924,15,0,PIPINTO T2  ,0528066870
Madrid,Pinto,438811.547215328,4455217.29641216,4923,45,0,PINTOSTR T1 ,0528066865
Madrid,Pinto,438811.547215328,4455217.29641216,4923,15,0,PINTOSTR T1 ,0528066866
Madrid,Madrid,434929.408189071,4468693.44239448,4888,15,"7,1",PIQUENAS T1 ,0528088163
Madrid,Madrid,434929.408189071,4468693.44239448,4888,45,"7,1",PIQUENAS T1 ,0528150423
Madrid,Madrid,434929.408189071,4468693.44239448,4888,15,"4,4",PIQUENAS T2 ,0528088164
Madrid,Madrid,434929.408189071,4468693.44239448,4888,45,"4,4",PIQUENAS T2,0528150424
Madrid,Móstoles,427691.833840059,4464461.76189418,4908,45,"22,29",PESTORIL T1 ,0528066845
Madrid,Móstoles,427691.833840059,4464461.76189418,4908,15,"17,5",PESTORIL T1 ,0528143483
Madrid,Móstoles,427691.833840059,4464461.76189418,4908,45,0,PESTORIL T2 ,0528066846
Madrid,Móstoles,427691.833840059,4464461.76189418,4908,15,0,PESTORIL T2 ,0528141673
Madrid,Leganés,433971.708888914,4464204.40480817,4880,45,"28,14",PRAPOZUE T1 ,0528066876
Madrid,Leganés,433971.708888914,4464204.40480817,4880,45,"28,14",PRAPOZUE T2 ,0528066878
Madrid,San Agustín del Guadalix,447876.415247752,4502269.80892774,4091,20,"4,48",S.AGUSTI T1 ,0528088178
Madrid,San Agustín del Guadalix,447876.415247752,4502269.80892774,4091,20,"2,76",S.AGUSTI T2 ,0528088177
Madrid,San Agustín del Guadalix,447876.415247752,4502269.80892774,4091,20,"4,48",S.AGUSTI T3 ,0528088445
Madrid,San Agustín del Guadalix,447876.415247752,4502269.80892774,4091,66,"4,48",S.AGUSTIN A    66.000,0021030602
Madrid,San Agustín del Guadalix,447876.415247752,4502269.80892774,4091,66,"17,65",S.AGUSTIN B 66.000,0021048021
Madrid,Getafe,440327.738185634,4460845.49666003,4919,45,"6,17",SAMARCOS T1 ,0528066897
Madrid,Getafe,440327.738185634,4460845.49666003,4919,15,"6,17",SAMARCOS T1 ,0528066898
Madrid,Getafe,440327.738185634,4460845.49666003,4919,45,"1,97",SAMARCOS T2 ,0528066899
Madrid,Getafe,440327.738185634,4460845.49666003,4919,15,"1,97",SAMARCOS T2 ,0528770487
Madrid,Fuenlabrada,434697.32986531,4457128.99436568,4922,45,"1,01",TAJAPIES T1 ,0528066905
Madrid,Fuenlabrada,434697.32986531,4457128.99436568,4922,15,"1,01",TAJAPIES T1 ,0528148158
Madrid,Fuenlabrada,434697.32986531,4457128.99436568,4922,45,0,TAJAPIES T2 ,0528066906
Madrid,Fuenlabrada,434697.32986531,4457128.99436568,4922,15,0,TAJAPIES T2 ,0528148159
Madrid,Alcorcón,431727.301451691,4466149.5477466,4887,45,"23,65",VALDERA1 T1 ,0528066915
Madrid,Alcorcón,431727.301451691,4466149.5477466,4887,15,"4,56",VALDERA1 T1 ,0528776712
Madrid,Alcorcón,431727.301451691,4466149.5477466,4887,45,"18,99",VALDERA1 T2 ,0528066917
Madrid,Alcorcón,431727.301451691,4466149.5477466,4887,15,"8,75",VALDERA1 T2 ,0528776711
Madrid,Alcorcón,431717.298454371,4467772.99597571,4890,45,"7,1",VALDERA2 T1 ,0528066919
Madrid,Alcorcón,431717.298454371,4467772.99597571,4890,15,"6,91",VALDERA2 T1 ,0528066920
Madrid,Alcorcón,431717.298454371,4467772.99597571,4890,45,"4,4",VALDERA2 T2 ,0528066921
Madrid,Alcorcón,431717.298454371,4467772.99597571,4890,15,"4,4",VALDERA2 T2 ,0528066922
Madrid,Getafe,435681.057885166,4459985.79694381,4920,45,"20,38",VALDRREJ T1 ,0528066923
Madrid,Getafe,435681.057885166,4459985.79694381,4920,15,"3,39",VALDRREJ T1 ,0528141669
Madrid,Getafe,435681.057885166,4459985.79694381,4920,45,"27,86",VALDRREJ T2 ,0528066924
Madrid,Getafe,435681.057885166,4459985.79694381,4920,15,"6,72",VALDRREJ T2 ,0528141670
Madrid,San Sebastián de los Reyes,451340.757694694,4491932.44404493,4125,66,0,VENTEROS A1    66.000,0021030652
Madrid,San Sebastián de los Reyes,451340.757694694,4491932.44404493,4125,66,0,VENTEROS A2    66.000,0021031650
Madrid,San Sebastián de los Reyes,451340.757694694,4491932.44404493,4125,20,0,VENTEROS T1 ,0528089617
Madrid,San Sebastián de los Reyes,451340.757694694,4491932.44404493,4125,20,0,VENTEROS T2 ,0528089618
Madrid,Fuenlabrada,436314.419984774,4456982.48599694,4921,45,0,VIENCINA T1 ,0528066925
Madrid,Fuenlabrada,436314.419984774,4456982.48599694,4921,15,0,VIENCINA T1 ,0528066926
Madrid,Fuenlabrada,436314.419984774,4456982.48599694,4921,45,"8,49",VIENCINA T2 ,0528066927
Madrid,Fuenlabrada,436314.419984774,4456982.48599694,4921,15,"1,81",VIENCINA T2 ,0528066928
Madrid,Leganés,435863.710412446,4465770.96821565,4884,45,"24,44",ZARZAQUE T1 ,0528066949
Madrid,Leganés,435863.710412446,4465770.96821565,4884,15,"8,31",ZARZAQUE T1 ,0528066950
Madrid,Leganés,435863.710412446,4465770.96821565,4884,45,"28,1",ZARZAQUE T2 ,0528066951
Madrid,Leganés,435863.710412446,4465770.96821565,4884,15,"17,5",ZARZAQUE T2 ,0528066952
Madrid,Leganés,435863.710412446,4465770.96821565,4884,45,"24,44",ZARZAQUE T3 ,0528066953
Madrid,Leganés,435863.710412446,4465770.96821565,4884,15,"6,97",ZARZAQUE T3 ,0528066954
Madrid,Leganés,435863.710412446,4465770.96821565,4884,45,"28,1",ZARZAQUE T4 ,0528066955
Madrid,Leganés,435863.710412446,4465770.96821565,4884,15,7,ZARZAQUE T4 ,0528066956
