provincia,municipio,utm_x,utm_y,subestacion,nivel_tension_kv,capacidad_disponible_mw,denominacion_punto,identificador_punto
Madrid,Alcobendas,444879.564735239,4488883.72405247,3227,20,"34,86",ALCOBE.M T2 ,0528088873
Madrid,Alcobendas,444879.564735239,4488883.72405247,3227,20,"34,13",ALCOBE.M T3 ,0528088874
Madrid,Algete,453298.2069217,4493722.15598842,3210,66,0,ALGETE,0021031578
Madrid,Algete,453298.2069217,4493722.15598842,3210,20,0,ALGETE T3   ,0528089194
Madrid,Algete,453298.2069217,4493722.15598842,3210,20,0,ALGETE T4   ,0528557228
Madrid,Madrid,439099.758099509,4470901.0312822,3316,15,"34,96",A.LEYV.M T1 ,0528088895
Madrid,Madrid,439099.758099509,4470901.0312822,3316,15,"34,64",A.LEYV.M T2 ,0528088896
Madrid,Madrid,439099.758099509,4470901.0312822,3316,15,"34,91",A.LEYV.M T3 ,0528088897
Madrid,Madrid,431647.773715119,4479639.10696286,3618,20,"25,89",ARAVACA T1  ,0528088158
Madrid,Madrid,431647.773715119,4479639.10696286,3618,20,"34,9",ARAVACA T2  ,0528088157
Madrid,Madrid,431647.773715119,4479639.10696286,3618,20,26,ARAVACA T3  ,0528088598
Madrid,Torrejón de Ardoz,459066.608980309,4477002.71695441,3560,132,0,ARDOZ       132.00,0025004027
Madrid,Torrejón de Ardoz,459066.608980309,4477002.71695441,3560,20,"22,43",ARDOZ.N T5  ,0528088419
Madrid,Torrejón de Ardoz,459066.608980309,4477002.71695441,3560,20,"22,59",ARDOZ.N T6  ,0528088420
Madrid,Torrejón de Ardoz,459066.608980309,4477002.71695441,3560,20,"29,31",ARDOZ.N T7  ,0528088421
Madrid,Madrid,440363.765550679,4471956.58445494,3315,15,"34,99",ARGANZUE T1 ,0528088514
Madrid,Madrid,440363.765550679,4471956.58445494,3315,15,"34,85",ARGANZUE T2 ,0528088516
Madrid,Madrid,440363.765550679,4471956.58445494,3315,15,35,ARGANZUE T3 ,0528088517
Madrid,Madrid,439177.483758896,4475606.12196762,3542,132,"316,78",ARGUELLE    132.00,0021004033
Madrid,Madrid,439177.483758896,4475606.12196762,3542,15,28,ARGUELLE T1 ,0528542415
Madrid,Madrid,439177.483758896,4475606.12196762,3542,15,"27,91",ARGUELLE T2 ,0528542428
Madrid,Madrid,439177.483758896,4475606.12196762,3542,15,28,ARGUELLE T3 ,0528542438
Madrid,Alcobendas,449488.898811282,4487498.09110614,3631,20,"34,81",ARROYO.V T1 ,0528088218
Madrid,Alcobendas,449488.898811282,4487498.09110614,3631,20,"21,7",ARROYO.V T21,0528088522
Madrid,Alcobendas,449488.898811282,4487498.09110614,3631,20,"21,75",ARROYO.V T22,0528088562
Madrid,Alcobendas,449488.898811282,4487498.09110614,3631,20,"29,6",ARROYO.V T4 ,0528088219
Madrid,Madrid,441622.326916054,4475418.54824926,3506,132,"218,67",AYALA       132.00,0021004042
Madrid,Madrid,441622.326916054,4475418.54824926,3506,15,"20,96",AYALA T11   ,0528089428
Madrid,Madrid,441622.326916054,4475418.54824926,3506,15,21,AYALA T12   ,0528089429
Madrid,Madrid,441622.326916054,4475418.54824926,3506,15,21,AYALA T21   ,0528089426
Madrid,Madrid,441622.326916054,4475418.54824926,3506,15,21,AYALA T22   ,0528089427
Madrid,Boadilla del Monte,422880.231882399,4473460.27054717,3897,20,"27,5",BOADILLA T1 ,0528065013
Madrid,Boadilla del Monte,422880.231882399,4473460.27054717,3897,20,"20,51",BOADILLA T2 ,0528066565
Madrid,Getafe,436207.086815893,4462464.34441181,3320,15,"6,58",BUENAVIS T1 ,0528066723
Madrid,Getafe,436207.086815893,4462464.34441181,3320,15,"12,54",BUENAVIS T2 ,0528066725
Madrid,Fuenlabrada,430564.668167847,4460411.60340584,3224,15,"6,88",C.FREGAC T1 ,0528066727
Madrid,Fuenlabrada,430564.668167847,4460411.60340584,3224,15,"0,46",C.FREGAC T2 ,0528066729
Madrid,Fuenlabrada,430564.668167847,4460411.60340584,3224,15,8,C.FREGAC T3 ,0528066731
Madrid,Madrid,443330.004394571,4479135.60498913,3632,132,"179,74",CHAMARTI    132.00,0021004071
Madrid,Madrid,443330.004394571,4479135.60498913,3632,15,"27,92",CHAMARTI T1 ,0528485391
Madrid,Madrid,443330.004394571,4479135.60498913,3632,15,"27,93",CHAMARTI T2 ,0528485392
Madrid,Alcalá de Henares,471012.022823666,4485502.43961124,3110,132,0,CISNEROS 132.00,0025004320
Madrid,Madrid,438169.993956492,4478887.64348177,3306,132,"172,23",C.UNIVER    132.00,0021009055
Madrid,Madrid,438169.993956492,4478887.64348177,3306,15,"27,92",UNIVER.M T1 ,0528088871
Madrid,Madrid,438169.993956492,4478887.64348177,3306,15,"27,86",UNIVER.M T2 ,0528088870
Madrid,Daganzo de Arriba,459441.728034654,4489300.67275646,3214,20,"11,46",DAGANZO T1  ,0528088220
Madrid,Daganzo de Arriba,459441.728034654,4489300.67275646,3214,20,"15,65",DAGANZO T2  ,0528088492
Madrid,Madrid,441579.163523359,4481187.43492998,3270,20,"34,88",DEPORTIV T1 ,0528088442
Madrid,Madrid,441579.163523359,4481187.43492998,3270,20,"34,94",DEPORTIV T2 ,0528088453
Madrid,Madrid,440609.506395034,4480596.52353374,3307,132,"225,37",EL PILAR    132.00,0021004087
Madrid,Madrid,440609.506395034,4480596.52353374,3307,20,"34,86",PILAR.M T1  ,0528088722
Madrid,Madrid,440609.506395034,4480596.52353374,3307,20,"34,91",PILAR.M T2  ,0528088723
Madrid,Madrid,440609.506395034,4480596.52353374,3307,15,"34,95",PILAR.M T3  ,0528088724
Madrid,Madrid,440609.506395034,4480596.52353374,3307,15,35,PILAR.M T4  ,0528088721
Madrid,Las Rozas de Madrid,426603.882522002,4484755.10430267,3893,132,"102,5",R.TEJAR     132.00,0021004181
Madrid,Leganés,433537.42903709,4466495.77661823,3079,45,"68,12",FORTUNA A1    45.000,0021046356
Madrid,Leganés,433537.42903709,4466495.77661823,3079,45,"80,21",FORTUNA B1    45.000,0021046358
Madrid,Leganés,433537.42903709,4466495.77661823,3079,15,35,FORTUNA T3  ,0528066771
Madrid,Madrid,443189.324232368,4485421.83117668,3308,20,"32,96",FUENCA.M T2 ,0528088400
Madrid,Madrid,443189.324232368,4485421.83117668,3308,20,"24,93",FUENCA.M T3 ,0528088401
Madrid,Madrid,443189.324232368,4485421.83117668,3308,20,"34,39",FUENCA.M T4 ,0528088402
Madrid,Madrid,443189.324232368,4485421.83117668,3308,20,"29,56",FUENCA.M T5 ,0528088396
Madrid,Madrid,443189.324232368,4485421.83117668,3308,132,"186,64",FUENCARR    132.00,0021004099
Madrid,Madrid,443189.324232368,4485421.83117668,3308,66,"3,02",FUENCARR    66.000,0048048082
Madrid,Fuenlabrada,433537.164323723,4458752.86184203,3653,15,"9,48",FUENLABR T1 ,0528066773
Madrid,Fuenlabrada,433537.164323723,4458752.86184203,3653,15,"24,48",FUENLABR T2 ,0528066775
Madrid,San Fernando de Henares,457710.819889941,4475462.73404419,3372,132,0,HENARES     132.00,0025004112
Madrid,Madrid,443518.133259894,4474301.10252648,3305,15,"26,25",ESTREL.M T11,0528088711
Madrid,Madrid,443518.133259894,4474301.10252648,3305,15,"26,23",ESTREL.M T12,0528088712
Madrid,Madrid,443518.133259894,4474301.10252648,3305,15,"26,21",ESTREL.M T21,0528088714
Madrid,Madrid,443518.133259894,4474301.10252648,3305,15,"26,25",ESTREL.M T22,0528088713
Madrid,Madrid,443518.133259894,4474301.10252648,3305,15,"26,17",ESTREL.M T31,0528088716
Madrid,Madrid,443518.133259894,4474301.10252648,3305,15,"26,15",ESTREL.M T32,0528088715
Madrid,Madrid,443518.133259894,4474301.10252648,3305,132,"200,78",ESTRELLA    132.00,0021004114
Madrid,Las Rozas de Madrid,424575.132842625,4484285.05032877,3551,132,"101,95",L.ROZAS     132.00,0021004120
Madrid,Las Rozas de Madrid,424575.132842625,4484285.05032877,3551,20,"27,89",ROZAS1 T1   ,0528066892
Madrid,Las Rozas de Madrid,424575.132842625,4484285.05032877,3551,20,"27,77",ROZAS1 T2   ,0528066894
Madrid,Las Rozas de Madrid,424575.132842625,4484285.05032877,3551,20,"27,56",ROZAS1 T3   ,0528066896
Madrid,Leganés,433994.64944783,4462846.03845532,3050,45,"48,92",LEGANES A1   45.000,0021046348
Madrid,Leganés,433994.64944783,4462846.03845532,3050,45,"69,83",LEGANES A2   45.000,0021046347
Madrid,Leganés,433994.64944783,4462846.03845532,3050,45,"35,26",LEGANES B1   45.000,0021046346
Madrid,Leganés,433994.64944783,4462846.03845532,3050,15,"30,5",LEGANES T4  ,0528066798
Madrid,Leganés,433994.64944783,4462846.03845532,3050,15,"16,54",LEGANES T5  ,0528066800
Madrid,Móstoles,424981.397411573,4465970.46651991,3191,45,"22,17",LUCERO A1    45.000,0021046836
Madrid,Móstoles,424981.397411573,4465970.46651991,3191,45,"22,29",LUCERO B1    45.000,0021046835
Madrid,Móstoles,424981.397411573,4465970.46651991,3191,15,"20,84",LUCERO T1   ,0528066806
Madrid,Móstoles,424981.397411573,4465970.46651991,3191,15,"15,89",LUCERO T2   ,0528066808
Madrid,Majadahonda,425052.12235111,4477945.09418202,3558,132,"267,63",MAJADAHO    132.00,0021004129
Madrid,Majadahonda,425052.12235111,4477945.09418202,3558,20,"27,99",MAJADAHO T4 ,0528147444
Madrid,Majadahonda,425052.12235111,4477945.09418202,3558,20,"27,44",MAJADAHO T5 ,0528147443
Madrid,Majadahonda,425052.12235111,4477945.09418202,3558,20,"27,44",MAJADAHO T6 ,0528143003
Madrid,Meco,473418.123242294,4487818.08689516,3508,45,0,MECO,0025048125
Madrid,Meco,473418.123242294,4487818.08689516,3508,132,0,MECO        132.00,0025004132
Madrid,Meco,473418.123242294,4487818.08689516,3508,20,"5,63",MECO T3     ,0528088446
Madrid,Meco,473418.123242294,4487818.08689516,3508,20,0,MECO T4     ,0528089674
Madrid,Madrid,438894.517879246,4473248.83856627,3309,20,35,MELANC.M T1 ,0528088397
Madrid,Madrid,438894.517879246,4473248.83856627,3309,15,"34,88",MELANC.M T2 ,0528088398
Madrid,Madrid,438894.517879246,4473248.83856627,3309,15,"34,88",MELANC.M T3 ,0528088399
Madrid,Madrid,438894.517879246,4473248.83856627,3309,15,"26,2",MELANC.M T41,0528088729
Madrid,Madrid,438894.517879246,4473248.83856627,3309,15,"26,25",MELANC.M T42,0528088728
Madrid,Madrid,438894.517879246,4473248.83856627,3309,45,"70,73",MELANCOL,0021049001
Madrid,Madrid,438894.517879246,4473248.83856627,3309,132,"197,52",MELANCOL    132.00,0021004135
Madrid,Madrid,439209.774507325,4482498.36662607,3310,20,"34,82",MIRASI.M T1 ,0528088392
Madrid,Madrid,439209.774507325,4482498.36662607,3310,20,"34,05",MIRASI.M T2 ,0528088393
Madrid,Madrid,439209.774507325,4482498.36662607,3310,20,"34,54",MIRASI.M T3 ,0528088394
Madrid,Madrid,439209.774507325,4482498.36662607,3310,20,"34,68",MIRASI.M T4 ,0528088395
Madrid,Madrid,439924.768028491,4478089.98135964,3583,132,"332,96",OLITE       132.00,0021004150
Madrid,Madrid,439924.768028491,4478089.98135964,3583,15,"27,89",OLITE T1    ,0528090129
Madrid,Madrid,439924.768028491,4478089.98135964,3583,15,"27,9",OLITE T2    ,0528153285
Madrid,Madrid,439924.768028491,4478089.98135964,3583,15,"27,98",OLITE T3    ,0528153289
Madrid,Madrid,440568.195013988,4475813.59890213,3452,15,"34,91",PALAFOX T1  ,0528088223
Madrid,Madrid,440568.195013988,4475813.59890213,3452,15,"34,96",PALAFOX T2  ,0528088224
Madrid,Madrid,440568.195013988,4475813.59890213,3452,15,"34,98",PALAFOX T3  ,0528088531
Madrid,Madrid,440357.588508339,4466870.49193191,3311,15,"16,69",PQINGENI T1 ,0528088836
Madrid,Madrid,440357.588508339,4466870.49193191,3311,15,"25,96",PQINGENI T2 ,0528088837
Madrid,Pinto,437066.808399173,4456162.54076573,3192,45,0,PINTO A1     45.000,0021046256
Madrid,Pinto,437066.808399173,4456162.54076573,3192,45,"6,17",PINTO B1     45.000,0021046907
Madrid,Pinto,437066.808399173,4456162.54076573,3192,15,"10,64",PINTO T4    ,0528066864
Madrid,Madrid,439268.170309157,4475105.28414176,3781,132,"190,74",P.ESPAÑA    132.00,0021004034
Madrid,Madrid,439268.170309157,4475105.28414176,3781,15,28,PLAZAESP T1 ,0528704391
Madrid,Madrid,439268.170309157,4475105.28414176,3781,15,28,PLAZAESP T2 ,0528704395
Madrid,Madrid,435273.919200691,4470128.75284089,3312,45,"9,37",PLGNO C A1,0021030705
Madrid,Madrid,435273.919200691,4470128.75284089,3312,45,"9,04",PLGNO C B1,0021030706
Madrid,Madrid,435273.919200691,4470128.75284089,3312,15,26,POLIGONC T4 ,0528088900
Madrid,Madrid,435273.919200691,4470128.75284089,3312,15,"25,94",POLIGONC T5 ,0528088901
Madrid,Pozuelo de Alarcón,430122.413604479,4473724.51868511,3546,132,"117,07",POZUELO     132.00,0021004171
Madrid,Pozuelo de Alarcón,430122.413604479,4473724.51868511,3546,20,"24,91",POZUELO T1  ,0528204256
Madrid,Pozuelo de Alarcón,430122.413604479,4473724.51868511,3546,20,"27,59",POZUELO T2  ,0528466199
Madrid,Pozuelo de Alarcón,430122.413604479,4473724.51868511,3546,20,"27,91",POZUELO T4  ,0528153318
Madrid,Alcorcón,428753.074044877,4464243.07093562,3298,15,"34,94",PSDOMING T1 ,0528066881
Madrid,Alcorcón,428753.074044877,4464243.07093562,3298,15,"18,96",PSDOMING T2 ,0528066883
Madrid,Alcorcón,428753.074044877,4464243.07093562,3298,45,"71,47",PSTODOMI,0021046938
Madrid,Madrid,438590.172808826,4465177.29462662,3029,45,"77,93",RETAMAR A1  45.000,0021049061
Madrid,Madrid,438590.172808826,4465177.29462662,3029,45,"83,66",RETAMAR B1  45.000,0021049064
Madrid,Madrid,438590.172808826,4465177.29462662,3029,45,"106,6",RETAMAR F1     45.000,0021049060
Madrid,Madrid,438590.172808826,4465177.29462662,3029,15,35,RETAMAR T10 ,0528088171
Madrid,Madrid,438590.172808826,4465177.29462662,3029,15,"29,36",RETAMAR T8  ,0528088172
Madrid,Madrid,438590.172808826,4465177.29462662,3029,15,"21,07",RETAMAR T9  ,0528088173
Madrid,Madrid,441026.546008023,4479149.59350718,3525,132,"173,26",S.FELIPE    132.00,0021004186
Madrid,Madrid,441026.546008023,4479149.59350718,3525,15,"27,09",S.FELIPE T1 ,0528453611
Madrid,Madrid,441026.546008023,4479149.59350718,3525,15,"27,93",S.FELIPE T2 ,0528454409
Madrid,Madrid,441026.546008023,4479149.59350718,3525,15,28,S.FELIPE T3 ,0528153343
Madrid,San Fernando de Henares,457093.368185782,4476647.70256994,3812,132,0,S.FERNANDO 132.00,0025004218
Madrid,Madrid,444018.300981321,4482416.93749888,3541,20,"34,72",SANCHINA T1 ,0528088167
Madrid,Madrid,444018.300981321,4482416.93749888,3541,20,"34,81",SANCHINA T2 ,0528088168
Madrid,Madrid,444018.300981321,4482416.93749888,3541,20,"26,25",SANCHINA T31,0528088512
Madrid,Madrid,444018.300981321,4482416.93749888,3541,20,"26,25",SANCHINA T32,0528088513
Madrid,Alcalá de Henares,466670.322236602,4482477.81931838,3160,20,0,T.MILETO T1 ,0528215047
Madrid,Alcalá de Henares,466670.322236602,4482477.81931838,3160,20,0,T.MILETO T2 ,0528215049
Madrid,Alcalá de Henares,466670.322236602,4482477.81931838,3160,132,0,TALMILET    132.00,0025004904
Madrid,Torrejón de Ardoz,463554.42374895,4481068.09122126,3856,132,"3,19",TOROTE      132.00,0025004203
Madrid,Torrejón de Ardoz,463554.42374895,4481068.09122126,3856,20,"3,19",TOROTE T1   ,0528088180
Madrid,Torrejón de Ardoz,463554.42374895,4481068.09122126,3856,20,"3,19",TOROTE T2   ,0528088214
Madrid,Torrejón de Ardoz,463554.42374895,4481068.09122126,3856,20,"3,19",TOROTE T3   ,0528088964
