OBJECTID,Gestor de red,Nombre del gestor,Provincia,Municipio,Coordenada X,Coordenada Y,Subestación,Nivel de tensión (kV),Capacidad disponible (MW),Nudo reservado,Capacidad ocupada (MW),Capacidad admitida y no evaluada (MW),Nudo 0*,x,y
2777,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Lesaka,605462.24,4788740.52,STR LESAKA,13,0,No,1.96,0,0,605462.24,4788740.52
2778,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Lesaka,605462.24,4788740.52,STR LESAKA,30,0,No,0,0,0,605462.24,4788740.52
2779,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Pamplona/Iruña,612413.35,4739509.3,STR LEZKAIRU,13,0,No,12.14,0,0,612413.35,4739509.3
2780,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Pamplona/Iruña,612413.35,4739509.3,STR LEZKAIRU,66,0,No,0,0,1,612413.35,4739509.3
2781,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Pamplona/Iruña,612413.35,4739509.3,STR LEZKAIRU,13,0,No,9.45,0,0,612413.35,4739509.3
2782,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Pamplona/Iruña,612413.35,4739509.3,STR LEZKAIRU,66,0,No,0,0,1,612413.35,4739509.3
2783,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Lodosa,574926.07,4697575.6,STR LODOSA,13,0,No,3.07,0,0,574926.07,4697575.6
2784,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Lodosa,574926.07,4697575.6,STR LODOSA,66,0,No,0,0,1,574926.07,4697575.6
2785,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Lodosa,574926.07,4697575.6,STR LODOSA,13,0,No,7.51,0,0,574926.07,4697575.6
2786,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Lodosa,574926.07,4697575.6,STR LODOSA,66,0,No,0,0,1,574926.07,4697575.6
2787,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Valle de Yerri/Deierri,585554.47,4724507,STR LORCA (MANIOBR,66,0,No,0,0,1,585554.47,4724507
2788,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Valle de Yerri/Deierri,585554.47,4724507,STR LORCA (MANIOBR,66,0,No,0,0,1,585554.47,4724507
